customer_id,age,gender,region,marital_status,education_level,employment_type,annual_income_lakh,credit_score,years_employed,existing_loans,debt_to_income_ratio,loan_amount_lakh,interest_rate_percent,missed_payments,savings_balance_lakh,loan_purpose,loan_approved
CUST000001,59,Male,North,Single,Bachelor,Business,9.25,721,7,4,37.83,7.67,13.35,4,7.26,Car,0
CUST000002,56,Male,North,Single,High School,Student,13.96,605,1,3,56.62,26.7,6.11,8,17.23,Home,0
CUST000003,47,Male,South,Married,Bachelor,Salaried,6.94,705,27,3,25.15,26.73,9.19,6,6.65,Personal,0
CUST000004,23,Male,West,Married,High School,Business,14.09,746,8,1,57.19,10.19,16.95,6,6.25,Car,0
CUST000005,28,Female,East,Single,Bachelor,Self-Employed,16.11,582,1,5,33.6,4.37,21.51,9,9.18,Education,0
CUST000006,54,Male,West,Married,Master,Salaried,15.49,666,30,5,15.78,14.07,12.22,1,6.19,Education,1
CUST000007,44,Male,West,Married,PhD,Salaried,5.27,609,28,4,9.1,19.66,17.66,0,13.33,Home,1
CUST000008,25,Female,South,Married,High School,Salaried,13.06,727,27,0,39.28,11.17,10.98,7,6.89,Car,0
CUST000009,57,Male,South,Married,PhD,Salaried,16.06,788,26,2,30.97,17.89,18.17,9,4.13,Education,0
CUST000010,34,Female,South,Married,Master,Business,28.86,606,14,1,6.4,3.65,14.14,4,14.25,Car,1
CUST000011,43,Male,South,Married,Bachelor,Self-Employed,16.36,862,28,3,56.86,27.98,20.09,9,12.94,Business,0
CUST000012,26,Female,South,Single,High School,Business,4.59,661,19,5,53.58,8.81,11.7,0,5.84,Car,0
CUST000013,21,Female,West,Married,High School,Business,10.04,562,12,0,21.76,16.02,13.76,0,0.5,Car,0
CUST000014,44,Male,West,Married,PhD,Student,11.19,712,31,0,27.21,14.88,9.95,6,7.84,Car,0
CUST000015,22,Male,South,Married,PhD,Business,8.21,716,16,2,38.53,9.73,10.46,0,8.02,Personal,0
CUST000016,21,Female,South,Single,PhD,Self-Employed,9.13,646,25,5,18.31,24.14,9.8,5,12.51,Home,0
CUST000017,44,Male,South,Single,PhD,Self-Employed,13.78,678,21,2,49.9,11.46,14.13,2,10.27,Personal,0
CUST000018,40,Female,West,Single,Master,Student,6.52,625,25,2,49.52,9.24,21.05,7,6.38,Personal,0
CUST000019,59,Male,East,Married,High School,Business,8.08,654,22,5,43.27,10,21.71,3,4.87,Education,0
CUST000020,22,Male,West,Single,Master,Salaried,17,692,8,0,24.21,19.18,20.19,7,9.78,Personal,0
CUST000021,53,Male,East,Single,Bachelor,Self-Employed,8.6,698,7,3,54.42,17.34,6.08,1,3.71,Education,0
CUST000022,22,Male,East,Married,High School,Student,17.25,786,32,3,18.05,24.27,16.39,6,3.08,Home,1
CUST000023,23,Female,South,Single,Bachelor,Salaried,16.11,831,11,2,25.22,7.88,21.57,2,3.11,Personal,1
